,经理人ID,经理人姓名,管理资产总规模,职业跨度年数,平均任职年数,出勤率,Average_AYP,Average_Double_Weighted_AYP,Overall_Min_Profit
39093,30040527,郑晓辉,86.96000000000001,17.208219178082192,5.407534246575342,0.31424136284031207,0.1478984710030187,0.09824636739722067,-0.1812
5836,30674011,高诗,1.14,4.372602739726028,4.372602739726028,1.0,0.0649057263301418,0.0973585894952127,0.3165
27494,30688787,王卫林,12.8,4.142465753424657,1.19626400996264,0.28878066378066375,0.10153855179421623,0.09642173954495566,-0.3157999999999999
16330,30687629,刘小明,11.94,4.183561643835616,1.5145205479452055,0.3620170268500328,0.12000327698480101,0.09561295291488327,-0.5396
30823,30040484,袁蓓,16.66,19.473972602739725,1.8666666666666665,0.09585443631588819,0.050753621358700284,0.0940017557199296,-0.1537
32612,30072068,晏青,20.34,11.843835616438357,2.4616438356164383,0.2078417765440666,0.15577251390819216,0.09391626112241958,-0.4084
39265,30620918,朱晓龙,10.27,5.235616438356164,2.9506849315068493,0.5635792778649922,0.07833781937829515,0.09363111314415516,-0.3181
9857,30542770,金拓,3.39,6.624657534246575,1.6567870485678704,0.2500939920294759,0.15437529145794138,0.0933778258723875,-0.1184
13306,30167602,李健伟,27.47,4.895890410958904,1.8565068493150685,0.3791969781757135,0.15675935579364944,0.09255388494756278,-0.0296
22764,30040362,史伟,36.8,18.24109589041096,3.152739726027397,0.17283718834484826,0.17396611797482622,0.09007427444724402,-0.4271
5795,30665215,顾柔刚,4.55,4.810958904109589,1.1704109589041096,0.24328018223234624,0.11541369934706736,0.0891118165044554,-0.0073
17281,30742696,李玉杰,17.0,2.4575342465753423,1.8479452054794518,0.7519509476031215,0.13452520940952423,0.088269046521971,0.0778
171,30289521,鲍无可,189.54,9.627397260273973,3.0120126448893574,0.3128584562847511,0.16346103993134198,0.08824294075814722,0.0737
7218,30574711,何杰,31.07,5.832876712328767,1.6928767123287671,0.2902301550023485,0.20850227055427287,0.08797470577043386,-0.3605
31921,30711642,叶佳,20.85,3.452054794520548,2.209315068493151,0.64,0.0888075500893606,0.08534435890107359,-0.6507
23511,30717457,汤戈,18.69,2.5123287671232877,1.3388127853881278,0.5328971283169756,0.08676769776888084,0.08489154243581873,-0.0803999999999999
38561,30541652,赵伟,79.04,6.6438356164383565,1.2504566210045662,0.188213058419244,0.15732191050843675,0.08473409402062454,-0.4750999999999999
8370,30587928,和玮,5.93,5.506849315068493,2.661917808219178,0.48338308457711443,0.1129580846262322,0.08271011206248095,-0.1492
3511,30705089,杜钧天,145.48,3.610958904109589,1.6408576533650983,0.45441050339777,0.14401116814044407,0.08222069547296568,-0.0078
17567,30161477,李永兴,110.33,11.898630136986302,2.4152102031176192,0.20298220680127355,0.1718258740878353,0.0797648834580182,-0.4275
37443,30642879,郑鹏,20.08,4.994520547945205,4.170410958904109,0.8349972572682391,0.10060621864810489,0.07697295209405797,0.1732999999999999
19820,30549897,彭成军,521.38,6.117808219178082,1.4295446131062568,0.23366940608319917,0.22006178652979208,0.076646705664922,-0.0147
14280,30802351,李谦,111.03,0.5972602739726027,0.5972602739726027,1.0,0.050906580656853606,0.07635987098528041,0.0301
10999,30185325,李本刚,99.28,7.361643835616438,2.656059009483667,0.36079699979960494,0.2416818349582612,0.0761546975575209,-0.0194
25940,30199401,王金祥,3.41,5.273972602739726,2.421526418786693,0.45914656771799633,0.06918527178102574,0.07603774934269972,-0.0185
31451,30364301,杨浩,122.5,8.493150684931507,4.539041095890411,0.5344354838709677,0.12394675793287752,0.07554568651357038,0.0494
5644,30352218,龚丽丽,365.25,8.693150684931506,1.8263209393346378,0.21008734410877491,0.15350583579817273,0.0754709212617947,-0.3564
6668,30050327,黄海,37.1,3.3808219178082193,2.342009132420092,0.6927336574824421,0.10836037900921346,0.07539251926906498,-0.2460999999999999
12741,30057702,刘俊,31.37,13.947945205479453,3.602107481559536,0.2582536300862759,0.13808790303912113,0.07537520380225074,-0.003
8977,30064918,胡耀文,13.73,8.693150684931506,2.5657534246575344,0.2951465490072487,0.19175834304795938,0.07470479477148709,-0.147
5790,30570998,高圣,2.96,5.945205479452055,2.978082191780822,0.5009216589861751,0.05710596139413693,0.074237749812378,0.0644
21802,30688194,沈佳,0.36,4.164383561643835,1.4726027397260273,0.3536184210526316,0.07337865120596865,0.07337865120596865,-0.4462
1745,30136178,陈舒薇,0.77,4.090410958904109,1.4036529680365295,0.34315695467738333,0.048402526888763786,0.07260379033314568,0.0062
38912,30414349,邹欣,207.23000000000002,8.115068493150686,4.239726027397261,0.5224510465901417,0.07791924731070765,0.0705448947759013,0.2114
32150,30286162,杨琨,48.05,9.682191780821919,2.677739726027397,0.2765633842671194,0.14836259100688717,0.06969323158114005,-0.1714
11494,30049502,陆从珍,58.36,13.813698630136987,2.6780821917808217,0.19387147957159856,0.09157663574793269,0.06951311330087519,-0.2514
10408,30734369,孔芳,1.6600000000000001,2.6876712328767125,2.6876712328767125,1.0,0.06848096072590737,0.06863609454849195,0.182
32016,30698430,杨金金,86.22999999999999,3.7643835616438355,2.641095890410959,0.7016011644832606,0.056978250881415116,0.06726252318542722,-0.0623
12148,30685891,林皓,1.68,4.257534246575342,1.7972602739726027,0.42213642213642216,0.10989621017289422,0.06697016746675855,-0.3656
1582,30665951,蔡荣成,123.22,4.786301369863014,1.4849315068493147,0.31024613623354313,0.08729628469323505,0.06659533895735673,-0.2262
10406,30796621,亢豆,5.99,0.7287671232876712,0.7287671232876712,1.0,0.0633610715983608,0.0664946949264938,0.0018
24638,30301239,王崇,144.98000000000002,9.306849315068494,6.810958904109589,0.7318221960553429,0.08616483820462022,0.06557572437173505,0.0719
39072,30764711,翟相栋,47.95,1.7835616438356163,1.4054794520547946,0.7880184331797236,0.04545174788315709,0.06529666405271772,-0.0302999999999999
1465,30040164,曹名长,192.97,17.59178082191781,5.302175664786462,0.3014007347215478,0.20775508686357116,0.06455047114966517,0.1093
9654,30744395,金梦,3.89,2.3945205479452056,2.3945205479452056,1.0,0.04277595859547323,0.06416393789320984,0.1055
802,30367576,陈建军,1.52,4.701369863013698,4.701369863013698,1.0,0.06524493320381575,0.06404967394360145,0.3211
38616,30666814,张文君,8.47,3.03013698630137,2.1869863013698634,0.7217450271247741,0.07617826484753415,0.06372113901429836,0.0168
28692,30037256,王志华,49.86,22.273972602739725,1.2975342465753426,0.058253382533825344,0.1428322514856143,0.06362815491041568,-0.2964
11220,30184620,林材,14.83,9.857534246575343,2.5076320939334638,0.2543873580560629,0.12859039246127316,0.0626633617890697,-0.541
38236,30275466,章椹元,581.22,10.186301369863013,1.5638532920901458,0.1535251349147131,0.217267880234775,0.062400133621167156,-0.5138
21978,30689273,束金伟,52.66,4.123287671232877,1.6335616438356166,0.39617940199335555,0.07926390749522877,0.06225548401551614,-0.246
19029,30418539,茅炜,251.85999999999999,8.021917808219179,2.594634703196347,0.3234431921675774,0.12445504679534307,0.06179564273352819,-0.4564
3828,30041736,邓时锋,16.73,15.863013698630137,4.0943248532289624,0.2581051073279052,0.11669259874984127,0.06132150376068857,-0.0717
23462,30062853,邵卓,65.08,8.887671232876713,3.619427148194271,0.40724134065687695,0.08978086857361595,0.06124424526805912,-0.3577
325,30340691,曹春林,44.199999999999996,6.597260273972603,1.8652769505658129,0.28273508594539937,0.11139293267523734,0.059826327229303915,-0.5863
38550,30652584,邹维,16.55,5.043835616438356,3.4969863013698634,0.6933188484519284,0.12988166583056124,0.05968403682455564,-0.0504
27041,30320406,王颂,104.38,9.134246575342466,2.1551106427818754,0.23593742789903555,0.10332655021791728,0.05915098026769087,-0.1206
